Title,Year,Maynard and Miles,Schottlaender v4.0,Description,Image
Lee and the Boys in the Backroom,1987,,G50b,"Lawrence, KS: Lawrence Community Theatre, 1987. Schottlaender G50b. Poster announcing ""Lee and the Boys in the Backroom,"" ""a play ""based on the novel QUEER and the unpublished correspondence"" of WILLIAM S. BURROUGHS at Lawrence Community Theatre May 8 - 12,""  directed by Paul Lim, a professor of English at the University of Kansas and one of Burroughs' friends in Lawrence. Picture of Burroughs seated with ""boy"" and life-sized doll at a table with Mexican food.",Lee%20and%20the%20Boys%20in%20the%20Backroom.resources/lee-and-the-boys-in-the-backroom_522291842_o.jpg
The Four Horsemen of the Apocalypse,1988,,A55a,"Bonn: Expanded Media Editions, 1988. Second printing of first edition, Schottlaender A55a.",The%20Four%20Horsemen%20of%20the%20Apocalypse_1.resources/the-four-horsemen-of-the-apocalypse_522301115_o.jpg
Meet The Beats Poster No. 2 - William S. Burroughs,1988,,G22?,"Sudbury, MA: Water Row Press, 1988. Schottlaender G22. Unsigned print of Robert Crumb caricature of Burroughs. In museum-quality matte and frame. ",Meet%20The%20Beats%20No.%202%20-%20William%20S.%20Burroughs.resources/meet-the-beats-no-2---william-s-burroughs_522345897_o.jpg
William Burroughs: Painting,1988,,B3,"Amsterdam: Suzanne Biederberg Gallery, 1988. First, Schottlaender B3. Brochure accompanying exhibitions in Amsterdam and London. With reproductions of 16 paintings and ""On Burroughs' Art"", an essay by James Grauerholz, including explication of each piece.",William%20Burroughs%20Painting.resources/william-burroughs-painting_522294720_o.jpg
Apocalypse,1988,,G35a,"New York: George Mulder Fine Arts, 1988. First, Schottlaender G35a. Dust jacket yellowing around edges. Hardbound.",Apocalypse_1.resources/apocalypse_873238657_o.jpg
William S. Burroughs,1988,,B4,"Santa Fe, NM: Gallery Casa Sin Nombre, 1988. First, Schottlaender B4. Softbound.",William%20S.%20Burroughs.resources/william-s-burroughs_16418351557_o.jpg
Literary Outlaw,1988,,H33a,"New York: Henry Holt and Company, Inc., 1988. First, Schottlaender H33a.",Literary%20Outlaw.resources/literary-outlaw_522302819_o.jpg
Apocalypse,1988,,G35a,"New York: George Mulder Fine Arts, 1988. First issue in wrappers, Schottlaender G35a.",Apocalypse.resources/apocalypse_522292028_o.jpg
Tornado Alley,1989,,A65,"Cherry Valley, NY: Cherry Valley Editions, 1989. First edition in wrappers, Schottlaender A65.",Tornado%20Alley.resources/tornado-alley_1387290797_o.jpg
Tornado Alley,1989,,A65,"Cherry Valley, NY: Cherry Valley Editions, 1989. Signed limited first, Schottlaender A65. Signed by Burroughs, unnumbered, one of 100, without dust jacket as issued. Hardbound.",Tornado%20Alley_1.resources/tornado-alley_522295076_o.jpg
Mindfield,1989,,,"New York: Thunder's Mouth Press, 1989. Signed limited first. A book of poems by Gregory Corso, with forwards by Burroughs and Allen Ginsberg. Letter O of a limited edition of 26 signed by the author, as well as Burroughs and Ginsberg. As issued in red slip case.",Mindfield.resources/minefield_526717899_o.jpg
Stiletto 1,1989,,C603,"Lawrence: Howling Dog Press, 1989. Schottlaender C603. Contains 4 selections from ""Interzone"". With insert reproduction of ""Twilight's Last Gleaming"" painting by Burroughs. In  plastic bag with metallic wrappers. ",Stiletto%201.resources/stiletto-1_522298287_o.jpg
Literary Vision,1989,,,"New York: Jack Tilton Gallery, 1989. Perfect-bound brochure accompanying showing of painting by noted literary figures, including Burroughs and Gysin, at Jack Tilton Gallery, New York. With excerpts from Grauerholz's essay ""On Burroughs' Art"".",Literary%20Vision.resources/literary-vision_522291766_o.jpg
Clause 27 Is Proposition 6 Is The Whole Tamale,1989,,A63,"England, The Horse Press, 1989(?). First, Schottlaender A63. Signed by Burroughs ""William S. Burroughs 1/23/1997"". Year of publication approximate per Shoaf and Schottlaender.",Clause%2027%20Is%20Proposition%206%20Is%20The%20Whole%20Tamale.resources/clause-27-is-proposition-6-is-the-whole-tamale_522297685_o.jpg
Towers Open Fire,1989,,F22,"Montauk, N.Y.: Mystic Fire Video, 1989. Schottlaender F22. Films featuring Burroughs and his work by Antony Balch, with the involvement of Ian Sommerville and Brion Gysin. VHS.",Towers%20Open%20Fire.resources/towers-open-fire_522301359_o.jpg
William S. Burroughs Paintings,1989,,B11,"Basel: Editions Carzaniga + Ueker AG, 1989. First, Schottlaender B11. Brochure accompanying exhibition in Galerie Carzaniga + Ueker, Basel. With reproductions of 23 paintings and German and English versions of Grauerholz's essay.",William%20S.%20Burroughs%20Paintings.resources/william-s-burroughs-paintings_522299453_o.jpg
Conjunctions 13,1989,,C594,"New York: Collier Press, 1989. Schottlaender C594. Contains ""Christ and The Museum of Extinct Species"". In wrappers. ",Conjunctions%2013.resources/conjunctions-13_522301455_o.jpg
Portrait of Burroughs,1989,,,"Portrait of Burroughs in casual shirt sitting, facing camera, with wry expression on face. Signed ""By Nelson Lyon, WSB '89"". Creased at lower right corner.",Portrait%20of%20Burroughs.resources/portrait-of-burroughs_522292862_o.jpg
Interzone,1989,,A64a,"New York: Viking Penguin, Inc., 1989. First, Schottlaender A64a.",Interzone.resources/interzone_522293574_o.jpg
The Atrocity Exhibition,1990,,,"San Francisco, CA: Re/Search Publications, 1990. Preface by Burroughs. First issue in wrappers.",The%20Atrocity%20Exhibition.resources/the-atrocity-exhibition_10499253276_o.jpg
Dead City Radio,1990,,E7,"New York: Island Records, Inc., 1990. Schottlaender E7. Single CD, 17 tracks of readings from various works, with various backing musicians. Produced by Nelson Lyon, who became a good friend of Burroughs and amassed a significant collection of Burroughs and Beats material, sold at auction in 1999, and some items of which have found their way into my collection. ",Dead%20City%20Radio.resources/dead-city-radio_522301871_o.jpg
Earl McGrath Gallery: List of Works,1990,,,"West Hollywood, CA: Earl McGrath Gallery, 1990. Xerox of list of works by Burroughs on exhibition at the Earl McGrath Gallery in West Hollywood, CA, September-October 1990. With receipt for ""Paper Roses on the Prevaricated Heart.""",Earl%20McGrath%20Gallery%3A%20List%20of%20Works.resources/earl-mcgrath-gallery-list-of-works_522290552_o.jpg
Paper Roses on the Prefabricated Heart,1990,,,"Signed by Burroughs. Fabriano paper, 20x16"". Number 8 in Earl McGrath Gallery list of works for Los Angeles exhibit in September-October 1990. In original matte and frame. ",Paper%20Roses%20on%20the%20Prefabricated%20Heart.resources/paper-roses-on-the-prefabricated-heart_522288124_o.jpg
The Drug User Documents 1840 - 1960,1991,,,"New York: Blast Books, 1991. First. Softbound. Contains foreword by Burroughs.",The%20Drug%20User%20Documents%201840%20-%201960.resources/the-drug-user-documents-1840---1960_11389892214_o.jpg
X-Ray Man,1991,,,"New York: Water Row/Lococo Mulder, 1991. Per Eric Shoaf, ""untitled three-color broadside (red, blue & purple on white background). 9.5 x 13 inches silkscreen print with small embossed lizard figure in lower right corner."" Signed by Burroughs. Limited edition printing, number 136 of 178. In original matte and frame.",X-Ray%20Man.resources/x-ray-man_2115025117_o.jpg
The Seven Deadly Sins,1991,,B18a,"New York/St. Louis: Lococo/Mulder, 1991. Signed limited first, Schottlaender B18a. Signed and numbered by Burroughs, 43 of 150. Leather bound, with shotgun pellet-perforated wood piece mounted on front cover. With shipping carton.",The%20Seven%20Deadly%20Sins.resources/the-seven-deadly-sins_522292648_o.jpg
Ghost of Chance,1991,,A66a,"New York: Whitney Museum of Art, 1991. Signed limited first, Schottlaender A66a. Signed by Burroughs and George Condo, the illustrator. Unnumbered, one of 160, in slipcase.",Ghost%20of%20Chance.resources/ghost-of-chance_522292460_o.jpg
The Cat Inside,1992,,A60b,"New York: Viking Penguin, 1992. Second edition, Schottlaender A60b. Without dust jacket, as issued.",The%20Cat%20Inside_2.resources/the-cat-inside_522296979_o.jpg
Painting & Guns,1992,,A67,"Madras, India and New York, NY: Hanuman Books, 1992. First, Schottlaender A67. In orange wrappers. Cover variant with standing monkey with staff on back.",Painting%20&%20Guns.resources/painting--guns_522290900_o.jpg
Painting & Guns,1992,,A67,"Madras, India and New York, NY: Hanuman Books, 1992. First, Schottlaender A67. In cream wrappers. Cover variant with monkey face surrounded by half circle on back, price tag on back, small tear to lower front.",Painting%20&%20Guns_1.resources/painting--guns_12616727493_o.jpg
Paper Cloud Thick Pages,1992,,B20,"Kyoto: Kyoto Shoin Int'l., 1992. First, Schottlaender B20. In laminated pictorial cardboard hardcover.",Paper%20Cloud%20Thick%20Pages.resources/paper-cloud-thick-pages_522298203_o.jpg
The Cat Inside,1992,,A60b,"New York: Viking Penguin, 1992. Second edition, Schottlaender A60b. Without dust jacket, as issued.",The%20Cat%20Inside.resources/the-cat-inside_522297705_o.jpg
"The ""Priest"" They Called Him",1992,,E22,"Portland, OR: Tim Kerr Records, 1992. First on vinyl, Schottlaender E22.",The%20%22Priest%22%20They%20Called%20Him_1.resources/the-priest-they-called-him_522298437_o.jpg
Letter From A Master Addict To Dangerous Drugs,1992,C1b,C3,"The British Journal of Addiction 53(2), January 1957. First separate printing, Maynard and Miles C1b. Limited to 50 copies. Signed by Burroughs, inscribed to Nelson Lyon ""For Nelson, William S. Burroughs October 20, 1992."" With postmarked envelope with William Burroughs Communications return address.",Letter%20From%20A%20Master%20Addict%20To%20Dangerous%20Drugs.resources/letter-from-a-master-addict-to-dangerous-drugs_522298735_o.jpg
"The ""Priest"" They Called Him",1992,,E22,"Portland, OR: Tim Kerr Records, 1992. First on CD, Schottlaender E22.",The%20%22Priest%22%20They%20Called%20Him.resources/the-priest-they-called-him_522294882_o.jpg
Break Through In Grey Room,1993,,E5b,"Brussels, Belgium: Sub Rosa, 1993. Schottlaender E5b. Burroughs reading with support from Ian Sommerville and Brion Gysin.  CD.",Break%20Through%20In%20Grey%20Room.resources/break-through-in-grey-room_522294860_o.jpg
The Letters of William S. Burroughs: 1945 - 1959,1993,,H11a,"New York: Viking Penguin, Inc., 1993. First, Schottlaender H11a. Proof copy, with publisher's letter to reviewers laid in.",The%20Letters%20of%20William%20S.%20Burroughs%3A%201945%20-%201959_1.resources/the-letters-of-william-s-burroughs-1945---1959_522301289_o.jpg
The Letters of William S. Burroughs: 1945 - 1959,1993,,H11a,"New York: Viking Penguin, Inc., 1993. First trade edition, Schottlaender H11a.",The%20Letters%20of%20William%20S.%20Burroughs%3A%201945%20-%201959.resources/the-letters-of-william-s-burroughs-1945---1959_522297429_o.jpg
William Burroughs: El Hombre Invisible,1993,,H32b,"New York: Hyperion, 1993. First American edition, Schottlaender H32b.",William%20Burroughs%3A%20El%20Hombre%20Invisible.resources/william-burroughs-el-hombre-invisible_522289892_o.jpg
A William Burroughs Birthday Book,1994,,G17,"London: Temple Press, 1994. First, Schottlaender G17. In stapled wrappers.",A%20William%20Burroughs%20Birthday%20Book.resources/a-william-burroughs-birthday-book_522298907_o.jpg
Remembering Jack Kerouac,1994,,A70,"Louisville, KY: White Fields Press, 1994. First signed limited, Schottlaender A70. Signed by Burroughs, numbered 10 of 49.",Remembering%20Jack%20Kerouac.resources/remembering-jack-kerouac_522338334_o.jpg
Photos and Remembering Jack Kerouac,1994,,A69,"Louisville, KY: White Fields Press, 1994. First signed limited, Schottlaender A69. Signed by Burroughs, lettered F of 26.",Photos%20and%20Remembering%20Jack%20Kerouac.resources/photos-and-remembering-jack-kerouac_522291060_o.jpg
The Junky's Christmas And Other Yuletide Stories,1994,,,"London: Serpent's Tail Publishing, 1994. Contains ""The Junky's Christmas"" by Burroughs.",The%20Junky's%20Christmas%20And%20Other%20Yuletide%20Stories.resources/the-junkys-christmas-and-other-yuletide-stories_522345923_o.jpg
Ghost of Chance,1995,,A65b,"New York: High Risk Books, 1995. First trade edition, Schottlaender A65b.",Ghost%20of%20Chance_1.resources/ghost-of-chance_522301245_o.jpg
Junky; Queer; Naked Lunch,1995,,A72,"New York: Quality Paperbook Book Club, 1995. Softbound, Schottlaender A72.",Junky;%20Queer;%20Naked%20Lunch.resources/junky-queer-naked-lunch_8500954155_o.jpg
Pantopon Rose,1995,,A74,"Charleston, WV: Parchment Gallery Graphics, 1995. Signed limited first, Schottlaender A74. Signed and numbered by Burroughs, number 40 of 60.",Pantopon%20Rose.resources/pantopon-rose_522299607_o.jpg
My Education: A Book of Dreams,1995,,A73a,"New York: Viking Press, Inc., 1995. First edition, Schottlaender A73a.",My%20Education.resources/my-education_522288632_o.jpg
"Report of the Death of an American Citizen ... Mexico, D.F., Mexico, September 24, 1951 ...Joan Vollmer Burroughs .../",1995,,G1,"Marlborough, MA: Water Row Books, 1995. Broadside. Limited first, numbered 68 of 100.","Report%20of%20the%20Death%20of%20an%20American%20Citizen%20...%20Mexico,%20D.F.,%20Mexico,%20September%2024,%201951%20...Joan%20Vollmer%20Burroughs%20..._.resources/report-of-the-death-of-an-american-citizen.jpg"
Essais - Tome I,1996,,A49?,"Paris: Christian Bourgois Éditeur, 1996. Second, Schottlaender A49. Volume 1 of 2.",Essais%20-%20Tome%20I_1.resources/essais---tome-i_10499262296_o.jpg
Venus Bound,1996,,,"De St. Jorre, John. Venus Bound: The Erotic Voyage of the Olympia Press and Its Writers. New York: Random House, 1996. First.",Venus%20Bound.resources/venus-bound_687615140_o.jpg
Ports of Entry: Williams Burroughs and the Arts,1996,,B23a,"Los Angeles, CA: Los Angeles County Museum of Art , 1996. First, Schottlaender B23a. Produced for a 1996 exhibition at LACMA.",Ports%20of%20Entry%3A%20Williams%20Burroughs%20and%20the%20Arts_1.resources/ports-of-entry-williams-burroughs-and-the-arts_10499249736_o.jpg
Ports of Entry: Williams Burroughs and the Arts,1996,,B23a,"Los Angeles, CA: Los Angeles County Museum of Art , 1996. First, Schottlaender B23a. Produced for a 1996 exhibition at LACMA. Mint in original shrinkwrap.",Ports%20of%20Entry%3A%20Williams%20Burroughs%20and%20the%20Arts.resources/ports-of-entry-williams-burroughs-and-the-arts_522298267_o.jpg
"Concrete and Buckshot: William S. Burroughs, Paintings 1987 - 1996",1996,,B22a,"Los Angeles: Smart Art Press, 1996. First, Schottlaender B22a.",Concrete%20and%20Buckshot.resources/concrete-and-buckshot_522346051_o.jpg
The Beat Book,1996,,,"Boston, MA: Shambhala Publications, 1996. Edited by Anne Waldman. Contains seven selected writings by Burroughs. First.",The%20Beat%20Book.resources/the-beat-book_10499266565_o.jpg
Funeral Card,1997,,G97?,"[n.p., 1997] Item from Schottlaender G97. The funeral card from the memorial service held in Lawrence, KS on August 6th, 1997.",Funeral%20Card.resources/funeral-card_522298743_o.jpg
Word Virus: The William Burroughs Reader,1998,,A76a,"New York: Grove Press 1998. First, Schottlaender A76a.",Word%20Virus%3A%20The%20William%20Burroughs%20Reader.resources/word-virus-the-william-burroughs-reader_10499258116_o.jpg
Word Virus: The William Burroughs Reader,1998,,A76a,"New York: Grove Press, 1998. First, Schottlaender A76a.",Word%20Virus%3A%20The%20William%20Burroughs%20Reader_1.resources/word-virus-the-william-burroughs-reader_522299775_o.jpg
In Search of Yage,1999,,A77,"Forest Knolls, CA: Skyline Books, 1999. First, Schottlaender A77. Per James Musser: ""Contains three original b&w photographs of William Burroughs in the Amazon jungle in the 1950s. The photographs were taken by an unknown person who accompanied Burroughs on his South American expedition to research the use of yage by local curanderos, a journey chronicled in The Yage Letters. They show Burroughs in his pith helmet and safari clothes, in one photo wielding a machete, in another posing with a long rifle, and in the third he's standing with two native children. The 5"" x 7"" photographs are corner-mounted on paper that simulates the bark of the Banisteria caapi vine. The pages are bound into covers of richly textured, sumptuous hand-made paper bound at the spine with brass screws. The booklet was designed and hand-assembled by Johnny Brewton of X-Ray Book Co. in an edition limited to only 26 lettered copies. The photographs, two of which are previously unpublished, were reproduced from the original negatives and are the only prints to be made from these negatives. This first publication from Skyline Books is a nice companion to The Yage Letters, providing an intriguing look at William Burroughs as explorer and ethnobotanist. As new.""  Lettered R of 26.",In%20Search%20of%20Yage.resources/in-search-of-yage_522298999_o.jpg
The Best of William Burroughs,1999,,E3,"New York: Giorno Poetry Systems, 1999. Schottlaender E3. Contains booklet.",The%20Best%20of%20William%20Burroughs.resources/the-best-of-william-burroughs_522290446_o.jpg
Paradise Outlaws,1999,,,"New York: WIlliam Morrow & Company, Inc., 1999. First. Price sticker on front of dust jacket.",Paradise%20Outlaws.resources/paradise-outlaws_522297657_o.jpg
Last Words: The Final Journals of William S. Burroughs,2000,,H10a,"New York: Grove Press, Inc., 2000. First, Schottlaender H10a.",Last%20Words_1.resources/last-words_522293212_o.jpg
Collecting William S. Burroughs in Print: A Checklist,2000,,I11a,"Rumford, RI: Rock n' Roll Research Press, 2000. First, Schottlaender I11a. Compiled by Eric C. Shoaf. Signed by Shoaf, number 40 of 174 numbered copies.",Collecting%20William%20S.%20Burroughs%20in%20Print.resources/collecting-william-s-burroughs-in-print_522290408_o.jpg
Last Words: The Final Journals of William S. Burroughs,2000,,H10a,"New York: Grove Press, Inc., 2000. First, Schottlaender H10a.",Last%20Words.resources/last-words_522289492_o.jpg
"William S. Burroughs: Time, Place, Word",2000,,G77,"Providence, R.I.: Friends of the Library, Brown University, 2000. First, Schottlaender G77. Edited by Eric C. Shoaf and Robert H. Jackson.",William%20S.%20Burroughs%3A%20Time%20Place%20Word.resources/william-s-burroughs-time-place-word_687614918_o.jpg
"Burroughs Live: The Collected Interviews of William S. Burroughs, 1960-1997",2001,,H7,"Los Angeles: Semiotext(e), 2001. First, Schottlaender H7. Edited by Sylvere Lotringer.","Burroughs%20Live%3A%20The%20Collected%20Interviews%20of%20William%20S.%20Burroughs,%201960-1997.resources/burroughs-live-the-collected-interviews-of-william-s-burroughs-1960-1997_10499256596_o.jpg"
Words of Advice for Young People,2001,,A79,"Encinitas, CA: FreeThought Publications, 2001. First, Schottlaender A77. Number 5 of 250. Signed by the photographer, Michael Monfort.",Words%20of%20Advice%20for%20Young%20People.resources/words-of-advice-for-young-people_522338220_o.jpg
"Burroughs Live: The Collected Interviews of William S. Burroughs, 1960-1997",2001,,H7,"Los Angeles: Semiotext(e), 2001. First, Schottlaender H7.  Edited by Sylvere Lotringer.","Burroughs%20Live%3A%20The%20Collected%20Interviews%20of%20William%20S.%20Burroughs,%201960-1997_1.resources/burroughs-live-the-collected-interviews-of-william-s-burroughs-1960-1997_687615412_o.jpg"
Brion Gysin Tuning in to the Multimedia Age,2003,,,"London: Thames & Hudson Ltd., 2003. Edited by Jose Ferez Kuri. Contains ""Port of Entry Here is space-time painting"" by Burroughs. First issue in wrappers.",Brion%20Gysin%20Tuning%20in%20to%20the%20Multimedia%20Age.resources/brion-gysin-tuning-in-to-the-multimedia-age_10499257255_o.jpg
WIlliam Burroughs and the Secret of Fascination,2003,,I28,"Carbondale, Ill.: Southern Illinois University Press, 2003. Hardbound in dustjacket.",WIlliam%20Burroughs%20and%20the%20Secret%20of%20Fascination.resources/william-burroughs-and-the-secret-of-fascination_686751745_o.jpg
William Burroughs Literary Archive,2005,,I4,"Hadley, MA: Ken Lopez Bookseller, 2005. First, Schottlaender I4. An excellent description of and background to the sale of the Burroughs Archive to the New York Public Library.",William%20Burroughs%20Literary%20Archive.resources/william-burroughs-literary-archive_687613854_o.jpg
The Lost Years of William Burroughs: Beats in South Texas,2006,,H26,"College Station, TX: Texas A&M University Press, 2006. First edition in wrappers, Schottlaender H26.",The%20Lost%20Years%20of%20William%20Burroughs%3A%20Beats%20in%20South%20Texas.resources/the-lost-years-of-william-burroughs-beats-in-south-texas_687613620_o.jpg
The Yage Letters Redux,2006,,A8e,"San Francisco: City Lights Books, 2006. Second printing, Schottlaender A8e.",The%20Yage%20Letters%20Redux.resources/the-yage-letters-redux_8500954319_o.jpg
Le Temps des Assassins,2008,,,"Rouen, FR: Dérriere la Salle de Bains, 2008. Pamphlet. Reproduction of texts by Burroughs translated to French by Lucien Suel and originally published in La Collection du Starscrewer nos. 7 (January 1978) and 12 (2nd quarter 1979.) First thus.",Le%20Temps%20des%20Assassins.resources/le-temps-des-assassins_11389894404_o.jpg
Everything Lost: The Latin American Notebook of WIlliam S. Burroughs,2008,,A80,"Columbus, OH: Ohio State University Press, 2008. First, Schottlaender A80.",Everything%20Lost%3A%20The%20Latin%20American%20Notebook%20of%20WIlliam%20S.%20Burroughs.resources/everything-lost-the-latin-american-notebook-of-william-s-burroughs_8502060662_o.jpg
And The Hippos Were Boiled In Their Tanks,2008,,A81,"New York: Grove Press, 2008. First, Schottlaender A81.",And%20The%20Hippos%20Were%20Boiled%20In%20Their%20Tanks.resources/and-the-hippos-were-boiled-in-their-tanks_8500954013_o.jpg
Rub Out The Words: The Letters of WIlliam S. Burroughs 1959-1974,2012,,H14,"New York: Ecco, 2012. First, Schottlaender H14.",Rub%20Out%20The%20Words%3A%20The%20Letters%20of%20WIlliam%20S.%20Burroughs%201959-1974.resources/rub-out-the-words-the-letters-of-william-s-burroughs-1959-1974_8500953699_o.jpg
"Cut-ups, Cut-ins, Cut-outs: The Art of WIlliam S. Burroughs",2012,,B29,"Nürnberg : Verlag für moderne Kunst Nürnberg; Wien : Kunsthalle Wien, 2012. First.","Cut-ups,%20Cut-ins,%20Cut-outs%3A%20The%20Art%20of%20WIlliam%20S.%20Burroughs.resources/cut-ups-cut-ins-cut-outs-the-art-of-william-s-burroughs_8502060828_o.jpg"
Call Me Burroughs: A Life,2014,,H31?,"New York, NY: Hachette Book Group, 2014. First. Barry Miles' biography of Burroughs.",Call%20Me%20Burroughs%3A%20A%20Life.resources/call-me-burroughs-a-life_12616380633_o.jpg
Taking Shots: The Photography of William S. Burroughs,2014,,B30,"Munich, DE: Prestel Verlag, 2014. First. Edited by Patricia Allmer and John Sears. Produced for an exhibition of Burroughs' photographic work in 2014 at The Photographers' Gallery in London.",Taking%20Shots%3A%20The%20Photography%20of%20William%20S.%20Burroughs.resources/taking-shots-the-photography-of-william-s-burroughs_12326707824_o.jpg
William S. Burroughs A Collector's Guide,2014,,I11b,"Providence, R.I.: Inkblot; distributed by Aftermath Books, 2014. Softbound.",William%20S.%20Burroughs%20A%20Collector's%20Guide.resources/william-s-burroughs-a-collectors-guide.jpg
The Travel Agency Is on Fire,2015,,A82,"Alex Wermer-Colan, ed. (Lost and Found: The CUNY Poetics Document Initiative; Ser. 5, No. 2) New York: The Center for the Humanities, The Graduate Center, The City University of New York, 2015. Staplebound. Schottlaender A82.",The%20Travel%20Agency%20Is%20on%20Fire.resources/the-travel-agency-is-on-fire.jpg
