Title,Year,Maynard and Miles,Schottlaender v4.0,Description,Image
The Invisible Generation,1966,,C146,"London: Project Sigma, 1966. First edition thus. 11 3/8"" x 17"", offset-printed on recto only. Schottlaender C146.",The%20Invisible%20Generation.resources/Evernote%20Snapshot%2020161021%20081225.jpg
My Own Mag 15,1966,,C142,"Schottlaender C142. Includes Schottlaender 141, containing Maynard & Miles C137, C138, C139, and C140.",My%20Own%20Mag%2015.resources/my-own-mag-15_687614572_o.jpg
The Ticket That Exploded,1967,A6b,A6b,"New York: Grove Press, Inc., 1967. First American, Maynard and Miles A6b. First American edition. Dust jacket slightly torn vertically on back. ",The%20Ticket%20That%20Exploded_2.resources/the-ticket-that-exploded_522297367_o.jpg
Les lettres du Yage,1967,D10,D143,"Paris: L'Herne, 1967. First French, Maynard and Miles D10. Presentation copy  inscribed by Burroughs ""For Mary Beach and Claude Pelieu William Burroughs"" , also signed by Allen Ginsberg ""Allen Ginsberg Ah.""",Les%20lettres%20du%20Yage.resources/les-lettres-du-yage_522297281_o.jpg
So Who Owns Death TV?,1967,A13b,A17b,"San Francisco: Beach Books, Texts and Documents, 1967. Second, Maynard and Miles A13b. Slight evidence of price sticker removal on front wrapper.",So%20Who%20Owns%20Death%20TV__2.resources/so-who-owns-death-tv_522298619_o.jpg
Burroughs Pelieu Kaufman,1967,D11,A18a,"Paris: L'Herne, 1967. Limited first, Maynard and Miles D11. Number 33 of 40. With uncut pages and with signed and numbered lithograph by Jean Helion laid in.",Burroughs%20Pelieu%20Kaufman.resources/burroughs-pelieu-kaufman_522292498_o.jpg
The Soft Machine,1967,A5c,A5c,"New York: Grove Press, Inc., 1967. First American paperback, Maynard and Miles A5c. Owner's signature, some yellowing.",The%20Soft%20Machine.resources/the-soft-machine_522293802_o.jpg
So Who Owns Death TV?,1967,A13a,A17a,"San Francisco: Beach Books, Texts and Documents, 1967. First, Maynard and Miles A13a.",So%20Who%20Owns%20Death%20TV__1.resources/so-who-owns-death-tv_522298587_o.jpg
So Who Owns Death TV?,1967,A13a,A17a,"San Francisco: Beach Books, Texts and Documents, 1967. First (variant), Maynard and Miles A13a. Some creasing in lower left hand corner and close to spine.",So%20Who%20Owns%20Death%20TV_.resources/so-who-owns-death-tv_522338258_o.jpg
The Ticket That Exploded,1967,A6b,A6b,"New York: Grove Press, Inc., 1967. First American, Maynard and Miles A6b. Signed by Burroughs. Dust jacket slightly yellowed.",The%20Ticket%20That%20Exploded_5.resources/the-ticket-that-exploded_522302649_o.jpg
Klacto 23,1967,C174,C162,Maynard and Miles C174.,Klacto%2023.resources/klacto-23_522298097_o.jpg
The Ticket That Exploded,1968,A6c,A6c,"New York: Grove Press, Inc., 1968. Maynard and Miles A6c, second printing. Inscribed by Burroughs on title page “For Richard Aaron William S. Burroughs."" Per Ken Lopez, at one time this was in the collection of Robert and Donna Jackson: ""Jackson, a book collector long before he purchased Burroughs' papers, also acquired a number of other copies of Burroughs titles, including ... another group inscribed to Richard Aaron, the bookseller who had helped facilitate the sale of the [Vaduz] archive.""",The%20Ticket%20That%20Exploded_4.resources/Evernote%20Snapshot%2020171107%20212106.jpg
APO-33 Bulletin,1968,A12c,A13c,"San Francisco: Beach Books, Texts and Documents, 1968. Third, Maynard and Miles A12c. Second printing of Beach edition.",APO-33%20Bulletin_1.resources/apo-33-bulletin_522292322_o.jpg
The Soft Machine,1968,A5d,A5d,"London: Calder & Boyars, 1968. First British, Maynard & Miles A5d.  Inscribed by Burroughs to his agent Michael Henshaw ""For Michael Henshaw with friendship and best wishes William S. Burroughs.""",The%20Soft%20Machine_4.resources/the-soft-machine_522288824_o.jpg
Minutes To Go,1968,A3b,A4b,"San Francisco: Beach Books, Texts and Documents, 1968. First American, Maynard and Miles A3b. Owner's signature.",Minutes%20To%20Go_2.resources/minutes-to-go_522301753_o.jpg
Minutes To Go,1968,A3b,A4b,"San Francisco: Beach Books, Texts and Documents, 1968. First American, Maynard and Miles A3b. Personal copy of Kathy Acker, signed by Acker.",Minutes%20To%20Go_1.resources/minutes-to-go_522295030_o.jpg
The Ticket That Exploded,1968,A6d,A6d,"London: Calder & Boyars, 1968. First English, Maynard and Miles A6d. Signed by Burroughs, inscribed ""For Brad"".  I obtained this item from Red Stodolsky of Baroque Books in Hollywood in the late Eighties; I remember Red smiling gnomically when he handed it to me, as if he'd arranged to get it inscribed for me, but I have no real proof that that was the case. Slight tear and rubbing on spine of dust jacket.",The%20Ticket%20That%20Exploded.resources/the-ticket-that-exploded_522291614_o.jpg
The Dead Star,1969,A14a,A21,"San Francisco: The Nova Broadcast Press, 1969. First, Maynard and Miles A14a.",The%20Dead%20Star_1.resources/the-dead-star_522301801_o.jpg
The Dead Star,1969,A14a,A21,"San Francisco: The Nova Broadcast Press, 1969. First, Maynard and Miles A14a. Signed by Burroughs.",The%20Dead%20Star.resources/the-dead-star_522301663_o.jpg
Entretiens avec William Burroughs,1969,A15a,H9a,"Paris: Editions Pierre Belfond, 1969. First, Maynard and Miles A15a. Inscribed by Burroughs to the dealer and proprietor of Am Here Books, Richard Aaron:  ""For Richard Aaron, William Burroughs.""",Entretiens%20avec%20William%20Burroughs.resources/entretiens-avec-william-burroughs_522297793_o.jpg
Le Ticket Qui Explosa,1969,D13,D123,"Paris: Christian Bourgois Editeur, 1969. First French, Maynard and Miles D13. Wrappers yellowed on spine.",Le%20Ticket%20Qui%20Explosa.resources/the-ticket-that-exploded_522294956_o.jpg
"Wormwood Review 9, 4(36)",1969,C247,C262,Maynard and Miles C247.,"Wormwood%20Review%209,%204(36).resources/wormwood-review-9-436_522299139_o.jpg"
Fruit Cup 0,1969,"C243, C244",C230,Maynard and Miles C244.,Fruit%20Cup%200.resources/fruit-cup-0_522289940_o.jpg
